event-id,visible,timestamp,location-long,location-lat,external-temperature,habitat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16073530956,true,2017-08-20 13:30:00.000,110.18863,1.606338,,"arboreal","radio-transmitter","Boiga nigriceps","1","1","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530957,true,2017-08-20 16:38:00.000,110.188612,1.606528,24.2,"arboreal","radio-transmitter","Boiga nigriceps","1","1","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530958,true,2017-08-21 02:47:00.000,110.188612,1.606555,26.4,"arboreal","radio-transmitter","Boiga nigriceps","1","1","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530959,true,2017-08-21 13:00:00.000,110.188818,1.606483,25.5,"arboreal","radio-transmitter","Boiga nigriceps","1","1","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530960,true,2017-08-22 11:10:00.000,110.188755,1.606248,23.0,"terrestrial","radio-transmitter","Boiga nigriceps","1","1","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530961,true,2017-08-22 18:26:00.000,110.188738,1.606248,21.7,"arboreal","radio-transmitter","Boiga nigriceps","1","1","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530962,true,2017-08-23 01:35:00.000,110.188836,1.606202,23.8,"arboreal","radio-transmitter","Boiga nigriceps","1","1","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530963,true,2018-08-18 12:57:00.000,110.188773,1.606438,25.0,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530964,true,2018-08-19 05:12:00.000,110.188728,1.60642,,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530965,true,2018-08-19 14:54:00.000,110.188854,1.606474,25.7,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530966,true,2018-08-20 07:49:00.000,110.188603,1.606184,27.8,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530967,true,2018-08-20 13:02:00.000,110.18854,1.606166,25.6,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530968,true,2018-08-21 09:08:00.000,110.188603,1.606184,27.0,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530969,true,2018-08-21 20:09:00.000,110.188567,1.606148,24.3,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530970,true,2018-08-22 18:54:00.000,110.188612,1.606184,24.0,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530971,true,2018-08-23 08:31:00.000,110.188818,1.606239,26.0,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530972,true,2018-08-23 15:31:00.000,110.188702,1.606157,23.8,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530973,true,2018-08-25 03:02:00.000,110.188612,1.606148,26.1,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530974,true,2018-08-25 14:53:00.000,110.188549,1.606139,24.4,"terrestrial","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530975,true,2018-08-26 09:38:00.000,110.188468,1.606257,26.6,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530976,true,2018-08-27 13:56:00.000,110.188657,1.606257,21.5,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530977,true,2018-08-28 07:42:00.000,110.188657,1.606202,24.8,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530978,true,2018-08-28 14:54:00.000,110.188782,1.606257,25.2,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530979,true,2018-08-29 14:26:00.000,110.189007,1.606347,23.7,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
16073530980,true,2018-08-30 09:47:00.000,110.189214,1.60651,25.8,"arboreal","radio-transmitter","Boiga nigriceps","2","2","Short-term movements on the Dark-headed cat snake Boiga nigriceps in Kubah National Park"
